symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SPY,2002-03-27 00:00:00+00:00,114.57,115.010002,113.760002,114.029999,19020300,79.3246637888,79.6293073318,78.763846655,78.9507840841,19020300,0.0,1.0
SPY,2002-03-28 00:00:00+00:00,114.519997,115.769997,114.5,114.970001,17532900,79.2900432846,80.1555039614,79.2761979909,79.6016118978,17532900,0.0,1.0
SPY,2002-04-01 00:00:00+00:00,114.57,115.099998,113.5,114.230003,17711000,79.3246637888,79.691617731,78.5838294495,79.0892605618,17711000,0.0,1.0
SPY,2002-04-02 00:00:00+00:00,113.940002,114.949997,113.769997,113.980003,15669500,78.8884729925,79.5877617574,78.7707668786,78.9161684265,15669500,0.0,1.0
SPY,2002-04-03 00:00:00+00:00,113.139999,114.209999,112.160004,114.010002,25658500,78.3345760822,79.0754104215,77.6560583735,78.9369387904,25658500,0.0,1.0
SPY,2002-04-04 00:00:00+00:00,112.669998,113.400002,112.230003,112.599998,23549000,78.0091621754,78.5145939801,77.704523479,77.9606963775,23549000,0.0,1.0
SPY,2002-04-05 00:00:00+00:00,112.690002,113.629997,112.18,113.190002,19404900,78.0230123157,78.6738352828,77.6699029749,78.3691965864,19404900,0.0,1.0
SPY,2002-04-08 00:00:00+00:00,112.93,113.029999,111.230003,111.32,16470100,78.1891793809,78.2584155427,77.0121549376,77.0744660293,16470100,0.0,1.0
SPY,2002-04-09 00:00:00+00:00,112.139999,113.18,111.93,113.18,15122700,77.6422075408,78.3622715163,77.4968108395,78.3622715163,15122700,0.0,1.0
SPY,2002-04-10 00:00:00+00:00,113.410004,113.540001,112.089996,112.099998,17199300,78.5215190503,78.6115248835,77.6075870367,77.6145121068,17199300,0.0,1.0
SPY,2002-04-11 00:00:00+00:00,110.589996,113.050003,110.5,112.889999,25453700,76.5690342246,78.272265683,76.5067238253,78.1614839469,25453700,0.0,1.0
SPY,2002-04-12 00:00:00+00:00,111.419998,111.650002,110.040001,111.019997,14950600,77.1437014987,77.3029490327,76.1882349886,76.8667533897,14950600,0.0,1.0
SPY,2002-04-15 00:00:00+00:00,110.57,111.860001,110.199997,111.620003,17394900,76.5551896232,77.448345734,76.2990111858,77.2821786688,17394900,0.0,1.0
SPY,2002-04-16 00:00:00+00:00,113.199997,113.32,111.669998,111.699997,15040900,78.37611681,78.4592031121,77.316793634,77.3375639979,15040900,0.0,1.0
